geoid,Population,population-density,life-expectancy,medianAge,urban population,new_tests_7day_smoothed [population],motor vehicles per 1000 people,Longitude,Latitude,Average precipitation in depth (mm per year),total paid leave,fertility rate,muslims/population,chistians/population,unaffiliated/population,hindus/population,buddhists/population,jews/population,folkReligions/population,other/population,Population ages 65 and above (% of total population),GDP per capita (current US$),Cancer Rate (%),Share of Deaths from Smoking (%),Pneumonia Death Rate (per 100K),Share of Deaths from Air Pollution (%),CO2 emissions (metric tons per capita),Air transport (# carrier departures worldwide) per capita
Somalia/,15893222,23.9234769,57068,18.5,0.47,,3,49,10,282,22,6.1,0.58578,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,,,,,,,,
South Africa/,59308690,47.63011978,63857,28,0.67,0.000804,174,24,-29,495,27,2.4,0.01450,0.68641,0.12561,0.00961,0.00169,0.00118,0.00354,0.00287,5.318005005,6374.028196,0.556269555,6.3,62.16391298,4.96,8.979062348,0.003040316453
South Korea/,51269185,529.3585013,82.63,43.2,0.82,0.000601,475,127.5,37,1274,30,1.1,0.00195,0.27638,0.43574,0.00010,0.21553,0.00010,0.00780,0.00215,14.41855583,31362.75147,2.210582796,16.04,17.67501381,5.79,11.57034541,0.01026686888
South Sudan/,11193725,18,57604,18.6,0.25,0.000057,,,,,32,4.7,0.05449,0.53691,0.00447,0.00045,0.00045,0.00045,0.29213,0.00045,3.39848288,1119.651332,0.448355243,2.45,140.1842424,9.33,0.141748232,0
Spain/,46754778,93.67719744,83.43170732,43.9,0.8,0.003610,648,-4,40,636,36,1.3,0.02096,0.77511,0.18693,0.00043,0.00011,0.00128,0.00043,0.00021,,,2.119853473,15.36,10.16887927,4.11,,
Sri Lanka/,21413249,345.558922,76812,33.7,0.18,0.000669,70,81,7,1712,40,2.2,0.09527,0.07145,0.00023,0.13216,0.67482,0.00023,0.00023,0.00023,10.47321975,4102.48135,0.537432573,10.07,24.19874754,6.67,0.885247473,0.001607649544
Sudan/,43849260,25,65095,18.3,0.35,,27,30,15,250,,4.4,0.69534,0.04128,0.00798,0.00011,0.00011,0.00011,0.02167,0.00011,3.581160528,977.2736357,0.423723785,1.37,30.39750247,8.65,0.299732598,7.23E-05
Suriname/,586632,3.69225,71.57,31,0.65,,349,-56,4,2331,30,2.4,0.13637,0.46025,0.05114,0.17046,0.00852,0.00852,0.05114,0.00852,,,,,,,,
Sweden/,10099265,24.98149812,82.55853659,41.1,0.88,0.003995,479,15,62,624,34,1.9,0.04258,0.62480,0.25150,0.00198,0.00396,0.00099,0.00198,0.00198,20.09552493,54608.36025,2.433869445,14.35,11.20746289,2.45,4.478182178,0
Switzerland/,8654622,215.4653505,83.75365854,42.7,0.74,0.003632,716,8,47,1537,27,1.5,0.04391,0.64359,0.18487,0.00462,0.00462,0.00231,0.00058,0.00116,,,2.110949955,14.98,7.886846735,3.58,,
Syria/,17500658,92.06710777,70.97,23.5,0.6,,368,38,35,252,37,2.8,1.08167,0.06057,0.02400,0.00029,0.00029,0.00029,0.00029,0.00029,4.503124421,2032.623489,0.572073777,8.77,16.78564351,6.65,1.640539063,9.59E-06
Taiwan/,23816775,652,80.19,42.3,0.79,0.000062,333,121,23.5,,19,1.2,0.00042,0.05374,0.12386,0.00021,0.20784,0.00021,0.43079,0.15787,,,2.715254451,15.45,33.59103582,7.08,,
Tajikistan/,9537645,65.57271417,70879,25.3,0.27,,38,71,39,691,,3.6,0.69724,0.01153,0.01048,0.00052,0.00052,0.00052,0.00052,0.00052,,,,,,,,
Tanzania/,59734218,63.5790788,65015,18.2,0.37,,7,35,-6,1071,37,4.9,0.26400,0.46104,0.01088,0.00084,0.00008,0.00008,0.01339,0.00050,2.601299178,1060.994615,0.448789036,4.43,94.56126331,7.9,0.231426985,0.0008634414533
Thailand/,69799978,135.8972068,76931,39,0.51,0.000125,226,100,15,1622,19,1.5,0.05401,0.00860,0.00272,0.00100,0.92292,0.00007,0.00086,0.00007,11.90089314,7273.563207,0.629747052,12.03,40.42401088,6.55,4.620377146,0.006817860258
Timor-Leste/,1318445,85.27047747,69.26,19.6,0.33,,,,,1500,,4.1,0.00379,0.84949,0.00379,0.00379,0.00379,0.00379,0.00379,0.00379,,,,,,,,
Togo/,8278724,145.0467733,60.49,20,0.43,0.000145,27,1.1667,8,1168,22,4.4,0.10146,0.31889,0.04469,0.00060,0.00060,0.00060,0.25970,0.00362,,,,,,,,
Tonga/,105695,143.3291667,70801,24.1,0.24,,174,-175,-20,,,3.6,0.04731,0.94612,0.04731,0.04731,0.04731,0.04731,0.04731,0.04731,,,,,,,,
Trinidad and Tobago/,1399488,270.9274854,73.38,37.8,0.52,0.000511,292,-61,11,2200,24,1.7,0.05716,0.62880,0.02144,0.21436,0.00357,0.00357,0.02144,0.01429,10.73495352,17129.91309,0.964836513,8.86,20.19768675,7.94,33.96641445,0.02341570632
